Year,Season,Data Type,Value
1971,DJF,"Max Day (Rain, Ravenswood)",24.0244140625
1971,DJF,"Min Day (Rain, Ravenswood)",0.0
1971,DJF,"Total (Rain, Ravenswood)",231.2900390625
1971,DJF,"R10mm (Rain, Ravenswood)",7.0
1971,DJF,"R20mm (Rain, Ravenswood)",1.0
1971,DJF,"Max 5-Day (Rain, Ravenswood)",57.87109375
1971,DJF,"Min 5-Day (Rain, Ravenswood)",0.5498046875
1971,DJF,"CDD (Rain, Ravenswood)",6.0
1971,MAM,"Max Day (Rain, Ravenswood)",64.2802734375
1971,MAM,"Min Day (Rain, Ravenswood)",0.0
1971,MAM,"Total (Rain, Ravenswood)",235.392578125
1971,MAM,"R10mm (Rain, Ravenswood)",5.0
1971,MAM,"R20mm (Rain, Ravenswood)",3.0
1971,MAM,"Max 5-Day (Rain, Ravenswood)",138.8515625
1971,MAM,"Min 5-Day (Rain, Ravenswood)",0.0
1971,MAM,"CDD (Rain, Ravenswood)",25.0
1971,JJA,"Max Day (Rain, Ravenswood)",24.8720703125
1971,JJA,"Min Day (Rain, Ravenswood)",0.0
1971,JJA,"Total (Rain, Ravenswood)",81.7685546875
1971,JJA,"R10mm (Rain, Ravenswood)",4.0
1971,JJA,"R20mm (Rain, Ravenswood)",1.0
1971,JJA,"Max 5-Day (Rain, Ravenswood)",43.8720703125
1971,JJA,"Min 5-Day (Rain, Ravenswood)",0.0
1971,JJA,"CDD (Rain, Ravenswood)",32.0
1971,SON,"Max Day (Rain, Ravenswood)",12.9248046875
1971,SON,"Min Day (Rain, Ravenswood)",0.0
1971,SON,"Total (Rain, Ravenswood)",63.669921875
1971,SON,"R10mm (Rain, Ravenswood)",1.0
1971,SON,"R20mm (Rain, Ravenswood)",0.0
1971,SON,"Max 5-Day (Rain, Ravenswood)",16.634765625
1971,SON,"Min 5-Day (Rain, Ravenswood)",0.0
1971,SON,"CDD (Rain, Ravenswood)",47.0
1972,DJF,"Max Day (Rain, Ravenswood)",140.9912109375
1972,DJF,"Min Day (Rain, Ravenswood)",0.0
1972,DJF,"Total (Rain, Ravenswood)",918.9267578125
1972,DJF,"R10mm (Rain, Ravenswood)",21.0
1972,DJF,"R20mm (Rain, Ravenswood)",13.0
1972,DJF,"Max 5-Day (Rain, Ravenswood)",316.201171875
1972,DJF,"Min 5-Day (Rain, Ravenswood)",0.080078125
1972,DJF,"CDD (Rain, Ravenswood)",8.0
1972,MAM,"Max Day (Rain, Ravenswood)",47.3828125
1972,MAM,"Min Day (Rain, Ravenswood)",0.0
1972,MAM,"Total (Rain, Ravenswood)",171.873046875
1972,MAM,"R10mm (Rain, Ravenswood)",6.0
1972,MAM,"R20mm (Rain, Ravenswood)",3.0
1972,MAM,"Max 5-Day (Rain, Ravenswood)",122.9892578125
1972,MAM,"Min 5-Day (Rain, Ravenswood)",0.0
1972,MAM,"CDD (Rain, Ravenswood)",27.0
1972,JJA,"Max Day (Rain, Ravenswood)",13.5205078125
1972,JJA,"Min Day (Rain, Ravenswood)",0.0
1972,JJA,"Total (Rain, Ravenswood)",22.56640625
