Year,Season,Data Type,Value
2015,Annual,"Humidity (Average, Ravenswood)",78.14868266951595
2015,Annual,"Humidity (Average, Ravenswood)",0.7623200616679455
2015,Annual,"Rain (CDD, Australia)",31.0
2015,Annual,"Rain (CDD, Ravenswood)",32.0
2015,Annual,"Rain (Max 5-Day, Australia)",34.6532319012353
2015,Annual,"Rain (Max 5-Day, Ravenswood)",108.69999384880066
2015,Annual,"Rain (Max Day, Australia)",7.580043887128752
2015,Annual,"Rain (Max Day, Ravenswood)",52.724586486816406
2015,Annual,"Rain (Min 5-Day, Australia)",0.34638053296340326
2015,Annual,"Rain (Min 5-Day, Ravenswood)",0.007673880085349083
2015,Annual,"Rain (Min Day, Australia)",0.02184668913361331
2015,Annual,"Rain (Min Day, Ravenswood)",0.0
2015,Annual,"Rain (R10mm, Australia)",0.0
2015,Annual,"Rain (R10mm, Ravenswood)",12.0
2015,Annual,"Rain (R20mm, Australia)",0.0
2015,Annual,"Rain (R20mm, Ravenswood)",5.0
2015,Annual,"Rain (Total, Australia)",443.97957742339975
2015,Annual,"Rain (Total, Ravenswood)",494.3752414841571
2015,Annual,"Temp (5-Day Avg Max, Australia)",38.65065900101176
2015,Annual,"Temp (5-Day Avg Max, Ravenswood)",39.39878540039062
2015,Annual,"Temp (Average, Australia)",22.67259630916636
2015,Annual,"Temp (Average, Ravenswood)",23.212433864645764
2015,Annual,"Temp (Avg Max, Australia)",27.903431861794544
2015,Annual,"Temp (Avg Max, Ravenswood)",28.57890834024508
2015,Annual,"Temp (Days ≥37.0°C ≥3h est, Australia)",11.0
2015,Annual,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",9.0
2015,Annual,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,Annual,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,Annual,"Temp (Max Day, Australia)",38.86927226628289
2015,Annual,"Temp (Max Day, Ravenswood)",40.017974853515625
2015,Annual,"Wind (95th Percentile, Australia)",6.039057940767325
2015,Annual,"Wind (95th Percentile, Ravenswood)",5.754277038574219
2015,Annual,"Wind (Average, Australia)",4.4972363364343995
2015,Annual,"Wind (Average, Ravenswood)",3.6862932597121145
2015,Annual,"Wind (Max Day, Australia)",6.6893999513374816
2015,Annual,"Wind (Max Day, Ravenswood)",7.8118133544921875
2015,DJF,"Humidity (Average, Ravenswood)",65.25120641651685
2015,DJF,"Humidity (Average, Ravenswood)",1.2882864416262723
2015,DJF,"Rain (CDD, Australia)",3.0
2015,DJF,"Rain (CDD, Ravenswood)",12.0
2015,DJF,"Rain (Max 5-Day, Australia)",34.6532319012353
