Year,Season,Data Type,Value
1850,Annual,"Humidity (Average, Ravenswood)",79.05570980751747
1850,Annual,"Humidity (Average, Ravenswood)",0.7101002063061275
1850,Annual,"Rain (CDD, Australia)",47.0
1850,Annual,"Rain (CDD, Ravenswood)",58.0
1850,Annual,"Rain (Max 5-Day, Australia)",35.411216853314436
1850,Annual,"Rain (Max 5-Day, Ravenswood)",86.35139489173889
1850,Annual,"Rain (Max Day, Australia)",10.82275981734831
1850,Annual,"Rain (Max Day, Ravenswood)",43.0002326965332
1850,Annual,"Rain (Min 5-Day, Australia)",0.35457488792430686
1850,Annual,"Rain (Min 5-Day, Ravenswood)",0.02374640229390934
1850,Annual,"Rain (Min Day, Australia)",0.03387503456582383
1850,Annual,"Rain (Min Day, Ravenswood)",0.0
1850,Annual,"Rain (R10mm, Australia)",1.0
1850,Annual,"Rain (R10mm, Ravenswood)",11.0
1850,Annual,"Rain (R20mm, Australia)",0.0
1850,Annual,"Rain (R20mm, Ravenswood)",4.0
1850,Annual,"Rain (Total, Australia)",429.6135143698462
1850,Annual,"Rain (Total, Ravenswood)",494.47585403200617
1850,Annual,"Temp (5-Day Avg Max, Australia)",37.30027770677419
1850,Annual,"Temp (5-Day Avg Max, Ravenswood)",39.96372680664062
1850,Annual,"Temp (Average, Australia)",22.43624197980247
1850,Annual,"Temp (Average, Ravenswood)",22.935636588318708
1850,Annual,"Temp (Avg Max, Australia)",27.863728045914776
1850,Annual,"Temp (Avg Max, Ravenswood)",28.55066762427761
1850,Annual,"Temp (Days ≥37.0°C ≥3h est, Australia)",2.0
1850,Annual,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",7.0
1850,Annual,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
1850,Annual,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",3.0
1850,Annual,"Temp (Max Day, Australia)",38.178031178006876
1850,Annual,"Temp (Max Day, Ravenswood)",41.933258056640625
1850,Annual,"Wind (95th Percentile, Australia)",5.810119483991609
1850,Annual,"Wind (95th Percentile, Ravenswood)",5.754206848144532
1850,Annual,"Wind (Average, Australia)",4.396389114940726
1850,Annual,"Wind (Average, Ravenswood)",3.6417179264434396
1850,Annual,"Wind (Max Day, Australia)",6.869788355184566
1850,Annual,"Wind (Max Day, Ravenswood)",6.75360107421875
1850,DJF,"Humidity (Average, Ravenswood)",64.14607977953689
1850,DJF,"Humidity (Average, Ravenswood)",1.3319937649188793
1850,DJF,"Rain (CDD, Australia)",5.0
1850,DJF,"Rain (CDD, Ravenswood)",15.0
1850,DJF,"Rain (Max 5-Day, Australia)",35.411216853314436
1850,DJF,"Rain (Max 5-Day, Ravenswood)",86.35139489173889
1850,DJF,"Rain (Max Day, Australia)",10.82275981734831
1850,DJF,"Rain (Max Day, Ravenswood)",33.93304443359375
1850,DJF,"Rain (Min 5-Day, Australia)",2.7126034811829376
1850,DJF,"Rain (Min 5-Day, Ravenswood)",0.3864739164710045
1850,DJF,"Rain (Min Day, Australia)",0.3045309242586104
1850,DJF,"Rain (Min Day, Ravenswood)",0.002099251374602318
